Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Uncategorized,11,$2.75,0,$0.00,$0.00,$2.75,$0.00
Basic Donuts,27,$54.00,0,$0.00,-$1.09,$52.91,$0.00
Bottled & Canned Drinks,3,$8.50,0,$0.00,$0.00,$8.50,$0.66
B’Fast Sandwiches,78,$665.50,0,$0.00,-$34.98,$630.52,$48.87
B’Rad Sandwiches,19,$263.00,0,$0.00,-$30.00,$233.00,$18.04
Catering & Events,60,$150.00,0,$0.00,$0.00,$150.00,$0.00
Coffee,60,$266.85,0,$0.00,-$3.55,$263.30,$0.00
Donut Holes,17,$17.00,0,$0.00,$0.00,$17.00,$0.00
Dozen Donuts,8,$264.00,0,$0.00,-$2.68,$261.32,$0.00
Just Bagels To Go,18,$107.00,0,$0.00,$0.00,$107.00,$0.00
Locally Made ,1,$7.00,0,$0.00,$0.00,$7.00,$0.54
Merch,2,$50.00,0,$0.00,$0.00,$50.00,$3.88
Not-Coffee,9,$19.65,0,$0.00,-$1.11,$18.54,$0.00
Sides,2,$6.00,0,$0.00,$0.00,$6.00,$0.46
Specialty Donuts (Contains Refined Sugar & Soy),138,$441.00,0,$0.00,-$4.48,$436.52,$0.00
Spreads To Go,10,$27.50,0,$0.00,$0.00,$27.50,$0.00
