Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Uncategorized,57,$15.25,0,$0.00,$0.00,$15.25,$0.00
Basic Donuts,109,$218.00,0,$0.00,-$1.63,$216.37,$0.00
Beer,1,$6.00,0,$0.00,$0.00,$6.00,$0.46
Bottled & Canned Drinks,11,$29.50,0,$0.00,$0.00,$29.50,$2.26
B’Fast Sandwiches,312,"$2,827.00",0,$0.00,-$120.42,"$2,706.58",$209.85
B’Rad Sandwiches,59,$815.00,0,$0.00,-$38.94,$776.06,$60.15
Coffee,177,$752.45,0,$0.00,-$5.77,$746.68,$0.00
Daily Specials,21,$112.00,0,$0.00,-$1.00,$111.00,$0.00
Donut Holes,32,$32.00,0,$0.00,-$0.46,$31.54,$0.00
Dozen Donuts,5,$165.00,0,$0.00,$0.00,$165.00,$0.00
Just Bagels To Go,48,$325.00,0,$0.00,-$2.92,$322.08,$0.00
Locally Made ,5,$37.00,0,$0.00,$0.00,$37.00,$2.86
Merch,12,$150.00,0,$0.00,-$10.00,$140.00,$10.86
Not-Coffee,46,$48.30,0,$0.00,-$0.47,$47.83,$0.00
Sidekicks,17,$138.00,0,$0.00,-$9.04,$128.96,$10.00
Sides,2,$10.00,0,$0.00,$0.00,$10.00,$0.78
Specialty Donuts (Contains Refined Sugar & Soy),563,"$1,786.00",0,$0.00,-$26.40,"$1,759.60",$0.00
Spreads To Go,17,$79.50,0,$0.00,-$0.43,$79.07,$0.39
Wholesale,36,$39.60,0,$0.00,$0.00,$39.60,$0.00
