Modifier Set,Modifier,Net Qty Sold,Net Sales,Qty Sold,Gross Sales,Qty Refunded,Refunds
Add ons,Chorizo,1,$3.00,1,$3.00,0,$0.00
Bagel 1,Everything,44,$0.00,44,$0.00,0,$0.00
Bagel 1,Plain,25,$0.00,25,$0.00,0,$0.00
Bagel 1,Rosemary Sea Salt,40,$0.00,40,$0.00,0,$0.00
Bagel 1,Sesame,15,$0.00,15,$0.00,0,$0.00
Bagel 1,Za'atar,11,$0.00,11,$0.00,0,$0.00
Bagel 2,Everything,33,$0.00,33,$0.00,0,$0.00
Bagel 2,Plain,15,$0.00,15,$0.00,0,$0.00
Bagel 2,Rosemary Sea Salt,24,$0.00,24,$0.00,0,$0.00
Bagel 2,Sesame,12,$0.00,12,$0.00,0,$0.00
Bagel 2,Za'atar,6,$0.00,6,$0.00,0,$0.00
Bagel 3,Everything,34,$0.00,34,$0.00,0,$0.00
Bagel 3,Plain,19,$0.00,19,$0.00,0,$0.00
Bagel 3,Rosemary Sea Salt,14,$0.00,14,$0.00,0,$0.00
Bagel 3,Sesame,10,$0.00,10,$0.00,0,$0.00
Bagel 3,Za'atar,13,$0.00,13,$0.00,0,$0.00
Bagel 4,Everything,38,$0.00,38,$0.00,0,$0.00
Bagel 4,Plain,16,$0.00,16,$0.00,0,$0.00
Bagel 4,Rosemary Sea Salt,14,$0.00,14,$0.00,0,$0.00
Bagel 4,Sesame,10,$0.00,10,$0.00,0,$0.00
Bagel 4,Za'atar,12,$0.00,12,$0.00,0,$0.00
Bagel Adds,Arugula,6,$3.00,6,$3.00,0,$0.00
Bagel Adds,Avocado,19,$47.50,19,$47.50,0,$0.00
Bagel Adds,Bacon,20,$60.00,20,$60.00,0,$0.00
Bagel Adds,Cucumber,7,$3.50,7,$3.50,0,$0.00
Bagel Adds,Cut In Half,30,$0.00,30,$0.00,0,$0.00
Bagel Adds,Egg,10,$20.00,10,$20.00,0,$0.00
Bagel Adds,Extra Toasted,8,$0.00,8,$0.00,0,$0.00
Bagel Adds,Not Toasted,17,$0.00,17,$0.00,0,$0.00
Bagel Adds,Red Onions Raw,7,$3.50,7,$3.50,0,$0.00
Bagel Adds,Salmon,4,$32.00,4,$32.00,0,$0.00
Bagel Adds,Sausage,7,$21.00,7,$21.00,0,$0.00
Bagel Adds,Spring Mix,2,$1.00,2,$1.00,0,$0.00
Bagel Adds,Tomato,14,$7.00,14,$7.00,0,$0.00
Bagel Type - 1/2 Dozen,Everything,24,$0.00,24,$0.00,0,$0.00
Bagel Type - 1/2 Dozen,Rosemary Sea Salt,5,$0.00,5,$0.00,0,$0.00
Bagel Type - 1/2 Dozen,Sesame,3,$0.00,3,$0.00,0,$0.00
Bagel Type - Dozen,Everything,22,$0.00,22,$0.00,0,$0.00
Bagel Type - Dozen,Plain,1,$0.00,1,$0.00,0,$0.00
Bagel Type - Dozen,Sesame,1,$0.00,1,$0.00,0,$0.00
Bagel Type - Single,Everything,251,$0.00,252,$0.00,-1,$0.00
Bagel Type - Single,Plain,56,$0.00,56,$0.00,0,$0.00
Bagel Type - Single,Rosemary Sea Salt,100,$0.00,100,$0.00,0,$0.00
Bagel Type - Single,Sesame,100,$0.00,100,$0.00,0,$0.00
Bagel Type - Single,Za'atar,41,$0.00,41,$0.00,0,$0.00
Basic Bitch Mods,Candied Bacon,70,$140.00,70,$140.00,0,$0.00
Basic Bitch Mods,Chorizo Patty,7,$14.00,7,$14.00,0,$0.00
Basic Bitch Mods,Sausage Patty,30,$60.00,30,$60.00,0,$0.00
Basic Bitch Mods,Taylor Ham,10,$20.00,10,$20.00,0,$0.00
Coffee Add Ons,Raw Sugar,3,$0.00,3,$0.00,0,$0.00
Coffee Flavors,Caramel,5,$3.75,5,$3.75,0,$0.00
Coffee Flavors,Chai,1,$0.75,1,$0.75,0,$0.00
Coffee Flavors,Hazelnut,1,$0.75,1,$0.75,0,$0.00
Coffee Flavors,Honey,1,$0.75,1,$0.75,0,$0.00
Coffee Flavors,Vanilla,31,$23.25,32,$24.00,-1,-$0.75
Coffee Flavors,White Mocha,1,$0.75,1,$0.75,0,$0.00
Coffee Options,Add Shot,19,$19.00,19,$19.00,0,$0.00
Coffee Options,Decaf,5,$0.00,5,$0.00,0,$0.00
Coffee Options,EXTRA Ice,1,$0.00,1,$0.00,0,$0.00
Coffee Options,Iced,105,$0.00,105,$0.00,0,$0.00
Combo Drinks,Soda of Choice,10,$20.00,10,$20.00,0,$0.00
Cream Cheese Options,Extra Cream Cheese,1,$1.50,1,$1.50,0,$0.00
Cream Cheese Options,No Cream Cheese,2,$0.00,2,$0.00,0,$0.00
Cream Cheese Options,Sub Caper Dill Cream Cheese,3,$0.00,3,$0.00,0,$0.00
Cream Cheese Options,Sub Garlic Herb Cream Cheese,3,$0.00,3,$0.00,0,$0.00
Cream Cheese Options,Sub Jalapeno Cheddar Cheddar Cream Cheese,6,$0.00,6,$0.00,0,$0.00
Cream Cheese Options,Sub Plain Cream Cheese,4,$0.00,4,$0.00,0,$0.00
Deli Cheese Options,American White Cheese,26,$0.00,27,$0.00,-1,$0.00
Deli Cheese Options,Pepper jack,52,$0.00,52,$0.00,0,$0.00
Deli Cheese Options,Sharp Cheddar,88,$0.00,88,$0.00,0,$0.00
Egg,Egg,5,$15.00,5,$15.00,0,$0.00
Egg & Cheese,Cheddar,14,$0.00,14,$0.00,0,$0.00
Hot Tea,Moroccan Green Mint,1,$0.00,1,$0.00,0,$0.00
Iced Tea Flavors,Black Tea,2,$0.00,2,$0.00,0,$0.00
Iced Tea Flavors,Green Jasmine,5,$0.00,5,$0.00,0,$0.00
Iced Tea Flavors,Green Mint,4,$0.00,4,$0.00,0,$0.00
Milk Options,Almond,29,$21.75,29,$21.75,0,$0.00
Milk Options,Half & Half,9,$0.00,9,$0.00,0,$0.00
Milk Options,Oat Milk,79,$59.25,79,$59.25,0,$0.00
Milk Options,Soy,9,$6.75,9,$6.75,0,$0.00
Milk Options,Whole Milk,18,$0.00,18,$0.00,0,$0.00
Sando Combo Side,Combo Fries,10,$20.00,10,$20.00,0,$0.00
Sando Combo Side,Combo Salad,3,$6.00,3,$6.00,0,$0.00
Sando Combo Side,Combo Soup,2,$4.00,2,$4.00,0,$0.00
Spreads,Bacon Chive Cream Cheese,17,$34.00,17,$34.00,0,$0.00
Spreads,Berry Cream Cheese,9,$18.00,9,$18.00,0,$0.00
Spreads,Butter,4,$2.00,4,$2.00,0,$0.00
Spreads,Cream Cheese,105,$157.50,105,$157.50,0,$0.00
Spreads,Dill Caper Cream Cheese,7,$14.00,7,$14.00,0,$0.00
Spreads,Garlic Fine Herb Cream Cheese,22,$44.00,22,$44.00,0,$0.00
Spreads,Hummus,2,$3.00,2,$3.00,0,$0.00
Spreads,Jalapeño Cheddar Cream Cheese,9,$18.00,9,$18.00,0,$0.00
Spreads,ON SIDE,9,$0.00,9,$0.00,0,$0.00
Spreads,VEGAN Butter,2,$3.50,2,$3.50,0,$0.00
Spreads,VEGAN Cream Cheese,9,$27.00,9,$27.00,0,$0.00
Spreads,VEGAN Garlic Fine Herb Cream Cheese,17,$51.00,17,$51.00,0,$0.00
Spreads,VEGAN Jalapeño Cream Cheese,5,$15.00,5,$15.00,0,$0.00
Vegan Option,VEGAN,85,$0.00,85,$0.00,0,$0.00
