Modifier Set,Modifier,Net Qty Sold,Net Sales,Qty Sold,Gross Sales,Qty Refunded,Refunds
Bagel Adds,Arugula,6,$3.00,6,$3.00,0,$0.00
Bagel Adds,Avocado,16,$40.00,16,$40.00,0,$0.00
Bagel Adds,Bacon,37,$111.00,37,$111.00,0,$0.00
Bagel Adds,Cucumber,7,$3.50,7,$3.50,0,$0.00
Bagel Adds,Cut In Half,21,$0.00,21,$0.00,0,$0.00
Bagel Adds,Egg,14,$28.00,14,$28.00,0,$0.00
Bagel Adds,Extra Toasted,7,$0.00,7,$0.00,0,$0.00
Bagel Adds,Not Toasted,1,$0.00,1,$0.00,0,$0.00
Bagel Adds,Red Onions Raw,7,$3.50,7,$3.50,0,$0.00
Bagel Adds,Salmon,3,$24.00,3,$24.00,0,$0.00
Bagel Adds,Sausage,9,$27.00,9,$27.00,0,$0.00
Bagel Adds,Spring Mix,4,$2.00,4,$2.00,0,$0.00
Bagel Adds,Tomato,18,$9.00,18,$9.00,0,$0.00
Bagel Flavor - Sandwich,Everything,137,$0.00,137,$0.00,0,$0.00
Bagel Flavor - Sandwich,Plain,47,$0.00,47,$0.00,0,$0.00
Bagel Flavor - Sandwich,Rosemary Sea Salt,77,$0.00,77,$0.00,0,$0.00
Bagel Flavor - Sandwich,Sesame,57,$0.00,57,$0.00,0,$0.00
Bagel Flavor - Sandwich,Za'atar,15,$0.00,15,$0.00,0,$0.00
Bagel Flavor 01,Everything,81,$0.00,81,$0.00,0,$0.00
Bagel Flavor 01,Plain,32,$0.00,32,$0.00,0,$0.00
Bagel Flavor 01,Rosemary Sea Salt,50,$0.00,50,$0.00,0,$0.00
Bagel Flavor 01,Sesame,23,$0.00,23,$0.00,0,$0.00
Bagel Flavor 01,Za'atar,15,$0.00,15,$0.00,0,$0.00
Bagel Flavor 02,Everything,20,$0.00,20,$0.00,0,$0.00
Bagel Flavor 02,Plain,7,$0.00,7,$0.00,0,$0.00
Bagel Flavor 02,Rosemary Sea Salt,6,$0.00,6,$0.00,0,$0.00
Bagel Flavor 02,Sesame,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 02,Za'atar,2,$0.00,2,$0.00,0,$0.00
