Modifier Set,Modifier,Net Qty Sold,Net Sales,Qty Sold,Gross Sales,Qty Refunded,Refunds
Bagel Adds,Avocado,1,$2.50,1,$2.50,0,$0.00
Bagel Adds,Bacon,2,$6.00,2,$6.00,0,$0.00
Bagel Adds,Cut In Half,4,$0.00,4,$0.00,0,$0.00
Bagel Adds,Egg,1,$2.00,1,$2.00,0,$0.00
Bagel Adds,Not Toasted,1,$0.00,1,$0.00,0,$0.00
Bagel Adds,Red Onions Raw,1,$0.50,1,$0.50,0,$0.00
Bagel Adds,Salmon,1,$8.00,1,$8.00,0,$0.00
Bagel Adds,Sausage,2,$6.00,2,$6.00,0,$0.00
Bagel Adds,Tomato,2,$1.00,2,$1.00,0,$0.00
Bagel Flavor - Sandwich,Everything,26,$0.00,26,$0.00,0,$0.00
Bagel Flavor - Sandwich,Plain,8,$0.00,8,$0.00,0,$0.00
Bagel Flavor - Sandwich,Rosemary Sea Salt,16,$0.00,16,$0.00,0,$0.00
Bagel Flavor - Sandwich,Sesame,13,$0.00,13,$0.00,0,$0.00
Bagel Flavor - Sandwich,Za'atar,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 01,Everything,14,$0.00,14,$0.00,0,$0.00
Bagel Flavor 01,Plain,9,$0.00,9,$0.00,0,$0.00
Bagel Flavor 01,Rosemary Sea Salt,16,$0.00,16,$0.00,0,$0.00
Bagel Flavor 01,Sesame,8,$0.00,8,$0.00,0,$0.00
Bagel Flavor 01,Za'atar,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 02,Everything,4,$0.00,4,$0.00,0,$0.00
Bagel Flavor 02,Plain,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 02,Rosemary Sea Salt,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 03,Everything,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 03,Plain,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 03,Rosemary Sea Salt,2,$0.00,2,$0.00,0,$0.00
Bagel Flavor 03,Sesame,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 04,Everything,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 04,Plain,1,$0.00,1,$0.00,0,$0.00
Bagel Flavor 04,Rosemary Sea Salt,3,$0.00,3,$0.00,0,$0.00
Bagel Flavor 04,Sesame,3,$0.00,3,$0.00,0,$0.00
